"states","indicators","Unit","Date","Value"
"Bauchi","MAIZE FLOUR","","2006",10165
"Bauchi","CASSAVA FLOUR","","2006",3590
"Bauchi","CASSAVA","","2006",11363
"Bauchi","Cassava (Akpu)","","2006",280
"Bauchi","FRUITS (N)","","2006",611325
"Bauchi","VEGETABLE (N)","","2006",369466
"Bauchi","Fish fresh","","2006",10080
"Bauchi","Fish frozen","","2006",4973
"Bauchi","Dried fish","","2006",68216
"Bauchi","fried fish","","2006",8712
"Bauchi","Smoked fish","","2006",3070
"Bauchi","Bush meat","","2006",6040
"Bauchi","Other Meat","","2006",67129
"Bauchi","OTHER ROOT/TUBER","","2006",15364
"Bayelsa","MAIZE (WHITE)","","2006",3393
"Bayelsa","MAIZE (YELLOW)","","2006",1387
"Bayelsa","RICE (LOCAL)","","2006",14125
"Bayelsa","RICE (AGRIC)","","2006",16702
"Bayelsa","RICE (IMPORTED)","","2006",240587
"Bayelsa","MAIZE FLOUR","","2006",798
"Bayelsa","CASSAVA FLOUR","","2006",2084
"Bayelsa","CASSAVA","","2006",49360
"Bayelsa","Cassava (Akpu)","","2006",3102
"Bayelsa","FRUITS (N)","","2006",508323
"Bayelsa","VEGETABLE (N)","","2006",270711
"Bayelsa","Fish fresh","","2006",789113
"Bayelsa","Fish frozen","","2006",124408
"Bayelsa","Dried fish","","2006",479044
"Bayelsa","fried fish","","2006",6735
"Bayelsa","Smoked fish","","2006",6766
"Bayelsa","Bush meat","","2006",103331
"Bayelsa","Other Meat","","2006",18447
"Bayelsa","OTHER ROOT/TUBER","","2006",5722
"Benue","MAIZE (WHITE)","","2006",34258
"Benue","MAIZE (YELLOW)","","2006",5288
"Benue","RICE (LOCAL)","","2006",151898
"Benue","RICE (AGRIC)","","2006",12876
"Benue","RICE (IMPORTED)","","2006",76790
"Benue","MAIZE FLOUR","","2006",2974
"Benue","CASSAVA FLOUR","","2006",152677
"Benue","CASSAVA","","2006",141110
"Benue","Cassava (Akpu)","","2006",24500
"Benue","FRUITS (N)","","2006",145412
"Benue","VEGETABLE (N)","","2006",439537
"Benue","Fish fresh","","2006",15619
"Benue","Fish frozen","","2006",82053
"Benue","Dried fish","","2006",165938
"Benue","fried fish","","2006",7630
"Benue","Smoked fish","","2006",3890
"Benue","Bush meat","","2006",28924
"Benue","Other Meat","","2006",33560
"Benue","OTHER ROOT/TUBER","","2006",43171
"Borno","MAIZE (WHITE)","","2006",147225
"Borno","MAIZE (YELLOW)","","2006",15180
"Borno","RICE (LOCAL)","","2006",97454
"Borno","RICE (AGRIC)","","2006",125433
"Borno","RICE (IMPORTED)","","2006",81863
"Borno","MAIZE FLOUR","","2006",33140
"Borno","CASSAVA FLOUR","","2006",1204
"Borno","CASSAVA","","2006",12590
"Borno","Cassava (Akpu)","","2006",732
"Borno","FRUITS (N)","","2006",115109
"Borno","VEGETABLE (N)","","2006",307778
"Borno","Fish fresh","","2006",15059
"Borno","Fish frozen","","2006",5842
"Borno","Dried fish","","2006",160751
"Borno","fried fish","","2006",8770
"Borno","Smoked fish","","2006",6456
"Borno","Bush meat","","2006",2148
"Borno","Other Meat","","2006",17284
"Borno","OTHER ROOT/TUBER","","2006",16600
"Cross River","MAIZE (WHITE)","","2006",26801
"Cross River","MAIZE (YELLOW)","","2006",1040
"Cross River","RICE (LOCAL)","","2006",81969
"Cross River","RICE (AGRIC)","","2006",58306
"Cross River","RICE (IMPORTED)","","2006",61664
"Cross River","MAIZE FLOUR","","2006",6685
"Cross River","CASSAVA FLOUR","","2006",33544
"Cross River","CASSAVA","","2006",152238
"Cross River","Cassava (Akpu)","","2006",3498
"Cross River","FRUITS (N)","","2006",96364
"Cross River","VEGETABLE (N)","","2006",214450
"Cross River","Fish fresh","","2006",37564
"Cross River","Fish frozen","","2006",95643
"Cross River","Dried fish","","2006",113501
"Cross River","fried fish","","2006",11534
"Cross River","Smoked fish","","2006",17179
"Cross River","Bush meat","","2006",39085
"Cross River","Other Meat","","2006",45399
"Cross River","OTHER ROOT/TUBER","","2006",30954
"Delta","MAIZE (WHITE)","","2006",3684
"Delta","MAIZE (YELLOW)","","2006",7500
"Delta","RICE (LOCAL)","","2006",17565
"Delta","RICE (AGRIC)","","2006",83128
"Delta","RICE (IMPORTED)","","2006",122670
"Delta","MAIZE FLOUR","","2006",1010
"Delta","CASSAVA FLOUR","","2006",10625
"Delta","CASSAVA","","2006",52918
"Delta","Cassava (Akpu)","","2006",6574
"Delta","FRUITS (N)","","2006",59480
"Delta","VEGETABLE (N)","","2006",212904
"Delta","Fish fresh","","2006",157898
"Delta","Fish frozen","","2006",147461
"Delta","Dried fish","","2006",94394
"Delta","fried fish","","2006",4886
"Delta","Smoked fish","","2006",6335
"Delta","Bush meat","","2006",17350
"Delta","Other Meat","","2006",24848
"Delta","OTHER ROOT/TUBER","","2006",10528
"Ebonyi","MAIZE (WHITE)","","2006",77001
"Ebonyi","MAIZE (YELLOW)","","2006",22710
"Ebonyi","RICE (LOCAL)","","2006",396162
"Ebonyi","RICE (AGRIC)","","2006",15090
"Ebonyi","RICE (IMPORTED)","","2006",9380
"Ebonyi","MAIZE FLOUR","","2006",5584
"Ebonyi","CASSAVA FLOUR","","2006",74697
"Ebonyi","CASSAVA","","2006",240411
"Ebonyi","Cassava (Akpu)","","2006",6904
"Ebonyi","FRUITS (N)","","2006",200676
"Ebonyi","VEGETABLE (N)","","2006",351714
"Ebonyi","Fish fresh","","2006",30498
"Ebonyi","Fish frozen","","2006",115545
